employee_code,full_name,department,salary_millimes,hire_date,month_elapsed_pct,salary_tier,tenure_months,past_advance_count,on_time_repayment_rate,dept_attrition_rate,performance_score,has_active_advance,days_since_last_advance,existing_debt_ratio,requested_amount_pct,true_max_pct
EMP00000,Houda Oueslati,Engineering,3217196,2022-02-06,0.7,1,45.5,6,0.9309,0.1768,2.5,0,265,0.0201,32.19,29.229574203783425
EMP00001,Olfa Chahed,Engineering,1446157,2026-06-20,0.8387,0,1.2,1,0.9242,0.0663,3.0,0,260,0.024,2.07,7.763104437022946
EMP00002,Hana Chahed,Sales,7807302,2011-03-12,0.4333,2,183.0,5,0.8621,0.2277,4.0,0,339,0.0404,47.63,20.97268708618467
EMP00003,Mariem Ferchichi,Logistics,1721963,2017-02-23,0.871,1,109.0,17,0.8188,0.213,3.5,0,344,0.1104,3.98,31.624893670851414
EMP00004,Rania Oueslati,Sales,1493253,2023-04-01,0.8065,0,35.8,3,0.8045,0.2801,2.0,0,255,0.2804,31.11,19.757696358863566
EMP00005,Wael Boukthir,Support,1846393,2026-01-06,0.8065,1,7.6,0,0.8355,0.152,3.0,1,365,0.4893,16.09,15.86945823459355
EMP00006,Walid Trabelsi,Engineering,2193522,2025-10-16,0.6667,1,1.1,0,0.7253,0.0679,3.5,0,365,0.1175,31.54,6.199514018326423
EMP00007,Amira Elloumi,Sales,1043339,2013-02-12,0.9333,0,160.4,10,0.5745,0.252,2.5,1,35,0.374,33.09,18.404219990880502
EMP00008,Ahmed Laabidi,Support,5665670,2023-09-18,1.0,2,27.4,3,0.8358,0.1247,3.5,0,172,0.1324,2.12,34.45958449232267
EMP00009,Rym Hamdi,Sales,5757406,2025-08-05,0.7333,2,3.6,1,0.8382,0.2846,4.0,0,248,0.1312,26.93,23.913596536056527
EMP00010,Fatma Hammami,Finance,1824270,2026-03-05,0.9333,1,1.8,1,0.7824,0.1345,3.0,0,90,0.192,13.99,8.45810209979487
EMP00011,Hamza Elloumi,Finance,3465681,2026-08-30,0.2258,1,1.2,1,0.906,0.0784,3.0,0,224,0.1103,31.85,2.400927573526993
EMP00012,Amine Bouzid,Sales,3590921,2021-01-06,0.3871,2,66.1,9,0.6595,0.1919,4.5,0,291,0.4656,30.07,14.616517787789986
EMP00013,Hichem Belhadj,Sales,5045649,2024-06-11,0.6774,2,25.3,0,0.7191,0.157,4.0,0,365,0.1507,0.21,23.88030735029868
EMP00014,Houssem Jedidi,Finance,1165029,2026-04-30,0.1935,0,2.2,0,0.919,0.0962,2.5,0,365,0.1033,30.76,1.3439702976551409
EMP00015,Leila Mechri,Logistics,2329049,2025-04-02,0.9677,1,15.9,2,0.6998,0.1982,3.0,1,22,0.4879,34.94,19.193588927414027
EMP00016,Houssem Mechri,Sales,1877433,2021-02-12,0.7667,1,62.3,10,0.8178,0.2286,4.0,0,219,0.1309,35.39,30.84080335129806
EMP00017,Imed Gharbi,Sales,7753754,2012-07-05,0.1613,2,161.0,11,0.7298,0.291,4.0,1,37,0.3272,35.33,0.568452737192867
EMP00018,Skander Laabidi,Support,7606467,2026-06-25,0.6129,2,1.8,0,0.9525,0.1303,3.5,0,365,0.0054,39.41,6.945099044951567
EMP00019,Hajer Bensalem,Logistics,3414002,2025-05-02,1.0,1,10.9,0,0.944,0.2112,2.5,0,365,0.2021,27.88,31.027459947973288
EMP00020,Cyrine Jebali,Engineering,3334211,2017-10-16,0.6,1,102.0,0,0.9253,0.1093,4.0,0,365,0.0966,26.01,28.17306290340533
EMP00021,Sirine Gharbi,Logistics,2427563,2018-09-21,0.0645,1,89.3,4,0.9889,0.0908,3.5,0,129,0.0317,6.83,5.0
EMP00022,Aymen Khemiri,Support,1096600,2016-12-06,0.7742,0,108.6,4,0.9382,0.2315,2.5,0,127,0.0565,24.72,27.26585126608081
