employee_code,full_name,department,salary_millimes,hire_date,past_advance_count,on_time_repayment_rate,dept_attrition_rate,performance_score,has_active_advance,days_since_last_advance,existing_debt_ratio,opted_in_wallet
EMP00001,Maher Belhadj,Finance,5803622,2009-02-21,17,0.9459,0.0968,3.5,0,352,0.0408,0
EMP00002,Yasmine Mechri,Engineering,7094030,2026-03-16,0,0.9466,0.1145,4.0,0,365,0.1463,0
EMP00003,Ahlem Saidi,Support,2280324,2026-01-28,1,0.7514,0.217,3.0,0,213,0.1825,0
EMP00004,Bilel Riahi,Logistics,2620954,2012-01-18,16,0.8932,0.1629,3.0,0,276,0.0431,0
EMP00005,Imed Tlili,Logistics,1296587,2022-09-01,3,0.8056,0.1471,2.0,1,7,0.3821,0
EMP00006,Nesrine Cherif,Support,1056568,2026-02-05,0,0.9593,0.2447,2.5,0,365,0.0039,0
EMP00007,Imed Zouari,Logistics,1214998,2024-09-16,1,0.9379,0.1035,3.0,0,62,0.0109,1
EMP00008,Rania Oueslati,Sales,1493253,2023-04-25,3,0.8045,0.2801,2.0,0,255,0.2804,0
EMP00009,Hajer Ayari,Sales,1674890,2026-01-02,1,0.7329,0.2752,3.0,0,327,0.2288,0
EMP00010,Hajer Jebali,Finance,5081631,2024-02-16,4,0.941,0.1369,4.5,0,83,0.0088,0
EMP00011,Sirine Boukthir,Support,3528283,2025-11-11,1,0.7561,0.2043,4.0,0,166,0.2662,0
EMP00012,Ines Yahyaoui,Logistics,5383542,2026-02-18,0,0.796,0.1239,4.0,0,365,0.1173,1
EMP00013,Manel Mechri,Engineering,3057054,2024-04-17,4,0.8114,0.1358,3.5,1,30,0.302,0
EMP00014,Bilel Yahyaoui,Logistics,3326392,2024-03-11,4,0.9121,0.18,3.5,0,181,0.0047,0
EMP00015,Amira Cherif,Support,4530502,2025-03-01,1,0.9087,0.2028,4.5,0,153,0.0144,1
EMP00016,Walid Mansour,Engineering,2778078,2025-10-21,1,0.9323,0.1273,3.5,0,50,0.0607,0
EMP00017,Hichem Elloumi,Finance,6457205,2014-07-22,15,0.8425,0.052,4.0,0,305,0.0549,0
EMP00018,Slim Bouzid,Sales,1904418,2023-07-03,4,0.8847,0.155,3.5,0,269,0.0908,0
EMP00019,Sonia Khemiri,Sales,5996424,2019-05-27,12,0.8894,0.2246,4.5,0,281,0.1153,0
EMP00020,Bechir Jedidi,Support,1658237,2026-02-21,0,0.825,0.1586,3.5,0,365,0.2777,1
EMP00021,Nizar Ayari,Support,2336764,2010-08-18,14,0.8292,0.2242,4.0,0,143,0.1374,1
EMP00022,Yassine Zouari,Support,1885605,2026-03-10,1,0.9012,0.2097,3.5,0,260,0.008,0
EMP00023,Leila Yahyaoui,Finance,4276248,2016-10-22,6,0.8122,0.1188,4.0,0,208,0.1476,0
EMP00024,Ahmed Mansour,Finance,2410222,2024-07-20,3,0.7373,0.0706,3.5,0,149,0.3444,0
EMP00025,Rym Oueslati,Sales,7989152,2021-03-16,1,0.7402,0.1947,4.0,0,44,0.3847,0
EMP00026,Olfa Mejri,Sales,991761,2019-11-29,9,0.831,0.169,2.5,0,273,0.0123,0
EMP00027,Tarek Nasri,Support,2315639,2013-01-26,6,0.8703,0.1557,2.5,0,171,0.0767,0
EMP00028,Sawsen Jedidi,Engineering,1419006,2026-02-13,0,0.8689,0.1247,3.0,0,365,0.1469,0
EMP00029,Adel Laabidi,Logistics,991536,2010-09-25,29,0.7813,0.1177,2.5,1,35,0.2784,0
EMP00030,Slim Gharbi,Logistics,3475169,2026-02-01,0,0.8571,0.106,3.0,0,365,0.0431,0
EMP00031,Amira Mejri,Finance,6431438,2025-08-31,1,0.8565,0.0945,4.0,0,364,0.0259,1
EMP00032,Lotfi Jedidi,Sales,3129710,2025-03-26,0,0.8166,0.2512,3.0,0,365,0.2648,1
